captured,field_path,fingerprint_participation,outcome_link_participation,plan_identity_participation,required,serialization,stage_trace_participation
true,input_snapshot.recommendation_candidates[].dma_50,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].ema_20,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].ema_200,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].ema_50,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].evidence,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].evidence[],false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].evidence[].label,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].evidence[].max_points,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].evidence[].rationale,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].evidence[].score_points,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].expected_drawdown,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].expected_holding_period_days,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].expected_return,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].fibonacci_382,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].fibonacci_500,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].fibonacci_618,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].fibonacci_786,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].high_price,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].higher_highs_higher_lows,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].historical_average_gain,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].historical_average_hold_days,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].historical_average_loss,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].historical_expected_value,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].historical_win_rate,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].liquidity_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].low_price,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].lower_highs_lower_lows,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].market_intelligence_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].market_regime,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].market_regime_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].metadata,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].metadata.source,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].momentum_confirmation_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].observed_on,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].open_price,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].previous_close,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].previous_high_price,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].previous_low_price,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].previous_open_price,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].price_breakdown_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].price_breakout_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].price_history,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].price_momentum_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].price_structure_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].price_trend_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].prior_day_high,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].probability_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].recent_high,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].relative_strength_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].resistance_level,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].retracement_low,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].retracement_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].reversal_candle_high,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].risk_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].risks,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].risks[],false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].risks[].label,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].risks[].penalty_points,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].risks[].rationale,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].sector_strength_score,false,false,false,true,CANONICAL_JSON,false
