candidate_arm_id,economic_candidate_id,invocation_count,observation_mode,result_code,result_state,stage_id,stage_invoked,stage_order
6a781c1f98f3dc3238a15bd2689b23a2df98a5b10a858ff0335d71dce8475795,63a40fabb0880a739c5cfa8db8550266f5aa803a2c2d0fdf3626c27a13783053,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,terminal_institutional_decision,true,6
6a781c1f98f3dc3238a15bd2689b23a2df98a5b10a858ff0335d71dce8475795,63a40fabb0880a739c5cfa8db8550266f5aa803a2c2d0fdf3626c27a13783053,1,SIGNED_RECORDED_COMPLETE_STACK,SKIP,FAIL,portfolio_allocation,true,7
6a781c1f98f3dc3238a15bd2689b23a2df98a5b10a858ff0335d71dce8475795,63a40fabb0880a739c5cfa8db8550266f5aa803a2c2d0fdf3626c27a13783053,1,SIGNED_RECORDED_COMPLETE_STACK,UPSTREAM_DECISION_REJECTED,NOT_APPLICABLE,institutional_trade_plan_optimizer,true,5
6a8bf36f4185a306b088cff8fd23dc7c3103f35def7e37b59ff5cb0eb7f334f9,8493b89f3fe4304fb608d62de8201c7664587121ef43d6ffad86c92cf8407bee,1,SIGNED_RECORDED_COMPLETE_STACK,BASE_DECISION_REJECTED,NOT_APPLICABLE,institutional_stress,true,4
6a8bf36f4185a306b088cff8fd23dc7c3103f35def7e37b59ff5cb0eb7f334f9,8493b89f3fe4304fb608d62de8201c7664587121ef43d6ffad86c92cf8407bee,1,SIGNED_RECORDED_COMPLETE_STACK,CANDIDATE_CONSTRUCTED,PASS,institutional_candidate_construction,true,2
6a8bf36f4185a306b088cff8fd23dc7c3103f35def7e37b59ff5cb0eb7f334f9,8493b89f3fe4304fb608d62de8201c7664587121ef43d6ffad86c92cf8407bee,1,SIGNED_RECORDED_COMPLETE_STACK,PAYLOAD_HASH_BOUND,PASS,recorded_payload,true,8
6a8bf36f4185a306b088cff8fd23dc7c3103f35def7e37b59ff5cb0eb7f334f9,8493b89f3fe4304fb608d62de8201c7664587121ef43d6ffad86c92cf8407bee,1,SIGNED_RECORDED_COMPLETE_STACK,RECOMMENDATION_GENERATED,PASS,recommendation,true,1
6a8bf36f4185a306b088cff8fd23dc7c3103f35def7e37b59ff5cb0eb7f334f9,8493b89f3fe4304fb608d62de8201c7664587121ef43d6ffad86c92cf8407bee,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,institutional_base_decision,true,3
6a8bf36f4185a306b088cff8fd23dc7c3103f35def7e37b59ff5cb0eb7f334f9,8493b89f3fe4304fb608d62de8201c7664587121ef43d6ffad86c92cf8407bee,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,terminal_institutional_decision,true,6
6a8bf36f4185a306b088cff8fd23dc7c3103f35def7e37b59ff5cb0eb7f334f9,8493b89f3fe4304fb608d62de8201c7664587121ef43d6ffad86c92cf8407bee,1,SIGNED_RECORDED_COMPLETE_STACK,SKIP,FAIL,portfolio_allocation,true,7
6a8bf36f4185a306b088cff8fd23dc7c3103f35def7e37b59ff5cb0eb7f334f9,8493b89f3fe4304fb608d62de8201c7664587121ef43d6ffad86c92cf8407bee,1,SIGNED_RECORDED_COMPLETE_STACK,UPSTREAM_DECISION_REJECTED,NOT_APPLICABLE,institutional_trade_plan_optimizer,true,5
6ac9b2d6ebb259fda6a41de959fb66ee9c9b4531f24c3623170023bdedb5eaa7,5aec033ee3656d751fe0ca7e2e699b182e001f5be7d2ac5569fbabeebc186c42,1,SIGNED_RECORDED_COMPLETE_STACK,BASE_DECISION_REJECTED,NOT_APPLICABLE,institutional_stress,true,4
